2022-10-07 08:54:47 status unpacked debian-archive-keyring:all 2021.1.1
2022-10-07 08:54:47 install debianutils:amd64 <none> 4.11.2
2022-10-07 08:54:47 status half-installed debianutils:amd64 4.11.2
2022-10-07 08:54:47 status unpacked debianutils:amd64 4.11.2
2022-10-07 08:54:47 install diffutils:amd64 <none> 1:3.7-5
2022-10-07 08:54:47 status half-installed diffutils:amd64 1:3.7-5
2022-10-07 08:54:47 status unpacked diffutils:amd64 1:3.7-5
2022-10-07 08:54:47 upgrade dpkg:amd64 1.20.12 1.20.12
2022-10-07 08:54:47 status half-configured dpkg:amd64 1.20.12
2022-10-07 08:54:47 status unpacked dpkg:amd64 1.20.12
2022-10-07 08:54:47 status half-installed dpkg:amd64 1.20.12
2022-10-07 08:54:48 status unpacked dpkg:amd64 1.20.12
2022-10-07 08:54:48 install e2fsprogs:amd64 <none> 1.46.2-2
2022-10-07 08:54:48 status half-installed e2fsprogs:amd64 1.46.2-2
2022-10-07 08:54:48 status unpacked e2fsprogs:amd64 1.46.2-2
2022-10-07 08:54:48 install libcom-err2:amd64 <none> 1.46.2-2
2022-10-07 08:54:48 status half-installed libcom-err2:amd64 1.46.2-2
2022-10-07 08:54:48 status unpacked libcom-err2:amd64 1.46.2-2
2022-10-07 08:54:48 install libext2fs2:amd64 <none> 1.46.2-2
2022-10-07 08:54:48 status half-installed libext2fs2:amd64 1.46.2-2
2022-10-07 08:54:48 status unpacked libext2fs2:amd64 1.46.2-2
2022-10-07 08:54:48 install libss2:amd64 <none> 1.46.2-2
2022-10-07 08:54:48 status half-installed libss2:amd64 1.46.2-2
2022-10-07 08:54:48 status unpacked libss2:amd64 1.46.2-2
2022-10-07 08:54:48 install logsave:amd64 <none> 1.46.2-2
2022-10-07 08:54:48 status half-installed logsave:amd64 1.46.2-2
2022-10-07 08:54:48 status unpacked logsave:amd64 1.46.2-2
2022-10-07 08:54:48 install findutils:amd64 <none> 4.8.0-1
2022-10-07 08:54:48 status half-installed findutils:amd64 4.8.0-1
2022-10-07 08:54:49 status unpacked findutils:amd64 4.8.0-1
2022-10-07 08:54:49 install gcc-10-base:amd64 <none> 10.2.1-6
2022-10-07 08:54:49 status half-installed gcc-10-base:amd64 10.2.1-6
2022-10-07 08:54:49 status unpacked gcc-10-base:amd64 10.2.1-6
2022-10-07 08:54:49 install libgcc-s1:amd64 <none> 10.2.1-6
2022-10-07 08:54:49 status half-installed libgcc-s1:amd64 10.2.1-6
2022-10-07 08:54:49 status unpacked libgcc-s1:amd64 10.2.1-6
2022-10-07 08:54:49 install libstdc++6:amd64 <none> 10.2.1-6
2022-10-07 08:54:49 status half-installed libstdc++6:amd64 10.2.1-6
2022-10-07 08:54:49 status unpacked libstdc++6:amd64 10.2.1-6
2022-10-07 08:54:49 install gcc-9-base:amd64 <none> 9.3.0-22
